"Analisa Skill","Tgl Assigned","Assignee","AssigneeGroupLeaderID","Attachment","AttachmentDone","PIC","Butuh Attachment","Butuh Eskalasi ke BRISolutions","Call Type ID","Call Type","Case Number","Charge Fee","Close Date","CountAgeAttachmentNull","Create Date (Legacy)","Current GIC","Customer Feedback","Date re-check","Description","Email Assignee","Email Kabag","Email Supervisor","Email Wakabag","Escalated Date","Fitur","FlagAutoClosedTicketAttachment","Formulir Detail","Forwad Date","Gateway","GIC","Handling Time","Hasil Kunjungan","Hasil Penelitian","Tgl In Progress","IsAttachmentDone?","Jenis Produk","Jenis CallType","Jenis Produk 1 LKPBU","Jenis Produk 2 LKPBU","Jenis Transaksi LKPBU","JP LKPBU 2","Kabag Login ID","Kategori Permasalahan LKPBU","KIP Date","> 40  Hari Kerja","Legacy Ticket ID","Level","Max 20 HK","Max 40 HK","Merchant ID","Nama Kabag","Nama Supervisor","Nama Wakabag","Nominal","Notes","Notify By","Case Origin","Case Owner","Penyebab Pengaduan 2 LKPBU","Penyebab Pengaduan LKPBU","Phone Survey","Pickup Date","PP LKPBU 2","re-check dokument","RecordTypeId","Returned","Search Call Type","Site User","SLA Status","Status","Status LKPBU","Sub Type","Submitter Login ID","SupervisorLoginId","SuppliedName","Tanggal","TanggalAttachmentDone","TID","Tiket Urgency","Top Call Type","Type","SuppliedPhone","SuppliedEmail","User","User Group","User Login Name","User re-check","Usergroup ID","Wakabag Login Id","Social Persona","DATE IN","KIP NAME"
"now","2020-05-30 14:40:12.990631","Agent Sosmed 3","75454102","she","air","Cynthia Wallace","eye","strong","32356705","local","93631","96346","2023-11-12","performance","2023-12-20","could","60860","2022-12-17","Travel impact little such still cause century manage.","kyleyoung@example.com","mkey@example.org","luke00@example.org","rollinstara@example.net","2023-08-07","movement","late","419 Kristine Vista
Thomasborough, AL 28007","2023-12-28","facebook","act","2022-03-24 22:46:47.360062","parent","choose","2024-01-21 04:21:10.455267","high","so","Banking","direction","leave","where","best","189376","yes","2022-12-22","recognize","80836182","Kabag","color","team","50278908","bank","weight","paper","15043","Edge ground home relate think person pattern serve.","Email","particularly","poor","list","when","001-433-821-0223x1936","2023-04-26","movement","cup","take","key","young","nstevens","Missed","Closed","cultural","since","1865676","home","Daniel White","police","writer","76352425","compare","chair","Return Ticket From Submitter","001-968-539-7405x34711","sawyerstephen@example.com","Non call","tranchristopher","Brent Robbins","harrisbrandy","29597233","industry","conference","of","model"
"month","2023-09-29 12:08:44.598375","Agent Sosmed 5","76044285","thus","suddenly","William Smith","name","theory","37737615","situation","91352","15444","2023-10-09","wear","2023-03-26","pay","47006","2023-12-22","Occur could wall necessary main show move cause pressure reason.","madison75@example.org","jonathanflores@example.org","tammy67@example.com","stephenstephenson@example.org","2024-02-28","tree","always","26925 Harding Fall Apt. 530
Lake Thomas, DC 14828","2023-04-27","Lembaga Hukum Lainnya","service","2021-10-31 15:43:54.654260","avoid","add","2023-11-01 09:16:02.567813","night","wish","Kartu Kredit","report","better","building","old","43130605","important","2024-01-19","their","18937946","Admin (CRS)","look","deal","85561369","forget","peace","however","17931","Rather hear really total break once huge church control rise scientist should human.","Email","middle","himself","score","at","(521)569-2692x722","2023-03-03","safe","drug","rather","would","look","jhogan","Missed","Return","leg","drive","52319866","share","Timothy Rose","most","project","10655143","beat","foot","Update Detail","876-891-3859","abentley@example.net","Call","krausebenjamin","James Casey","tiffanylee","97511847","evening","summer","describe","serious"
"social","2023-03-08 15:58:31.339844","Agent Sosmed 3","20183837","author","late","Robert Adams","poor","dream","61681943","next","92851","35558","2022-12-19","soldier","2022-12-07","sell","99219","2024-02-22","Box size feel start couple development reduce law agency increase use.","charlotte48@example.com","lauren09@example.com","rick82@example.net","keithmiller@example.net","2024-01-02","brother","consider","4471 Cynthia Square Suite 456
North Jimmy, CO 84317","2022-04-28","Instagram","thus","2021-01-31 01:19:06.702027","both","better","2023-11-22 04:03:36.253294","alone","cup","Banking","after","science","alone","shoulder","71155321","visit","2022-10-21","series","47425669","Team Leader","option","simply","44836621","significant","sea","fly","49349","Apply room serve hospital suffer soldier with discussion way leave sort arm.","Email","language","never","firm","east","284.422.7197","2022-11-12","husband","agency","charge","fine","dinner","xcalderon","In Progress","Cancel","century","billion","45320063","agency","Thomas Keith","building","base","88552641","soldier","grow","Notes","467.267.4790","kelly37@example.org","Non call","maryhamilton","Nicole Murray","jamesgilbert","13578575","heavy","eye","eight","never"
"left","2022-02-06 11:25:49.569304","Contact BRI","87481253","north","usually","Michael Anderson","condition","best","35171778","eight","90600","54837","2023-11-18","me","2023-11-15","with","16008","2022-07-06","Method fall you around hand child during miss to decide board.","claudia16@example.org","parkrobin@example.org","shariroberson@example.org","slamb@example.com","2022-05-27","magazine","impact","7990 Martinez Meadow Suite 913
East Christopherberg, KS 38364","2023-01-03","Media Konsumen","us","2021-10-10 00:11:33.297824","focus","consumer","2021-12-10 09:24:06.948232","reveal","sometimes","Kartu Kredit","officer","be","art","treatment","3546605","interesting","2023-12-31","nor","9426865","Supervisor","approach","you","7431021","play","finish","value","38452","Ahead candidate fish window character general.","Email","it","newspaper","cold","certainly","830.714.6740x9024","2024-01-15","candidate","report","box","try","far","annabarnes","In Progress","New","plan","born","35862365","bit","Randall Lopez","major","nation","61661615","white","stock","Update Nama","(295)290-4541x186","rporter@example.org","Call","shieldsjohn","Charles Lucas","xphillips","71394405","inside","high","around","away"
"speak","2021-04-29 08:24:28.863781","RPA Sosial Media","34283932","water","measure","Stefanie Curry","either","test","69617118","final","12061","11736","2022-12-14","poor","2023-04-02","lot","51142","2022-09-05","Economy yeah ready participant development science finally group above nothing yeah to color.","andrea82@example.com","mahoneyjacob@example.org","cesarrichard@example.com","simpsonmegan@example.com","2023-06-29","hard","common","47892 Anthony Overpass Apt. 841
Sextonstad, DC 88976","2023-09-01","Bank Indonesia","agency","2023-02-15 04:08:39.278040","board","until","2021-09-26 10:42:33.174298","yard","decide","Kartu Kredit","ball","serve","walk","choice","70418460","discuss","2023-10-07","really","92702459","Admin (CRS)","south","his","94409879","participant","PM","his","63777","Writer military heavy institution floor lawyer feeling.","Email","situation","project","firm","thought","(508)611-5840","2023-07-31","able","official","ability","near","machine","taraturner","In Progress","Not Used","almost","turn","67680819","figure","Caitlin Johnson","interesting","budget","13248609","guy","say","Update Status New","001-984-779-2473x6738","watsonevan@example.net","Call","codyhopkins","Mrs. Lori Lewis","hcunningham","39557608","interesting","remain","enough","discover"
"reflect","2023-08-20 23:44:53.171445","Contact BRI","56486165","religious","thank","Teresa Nielsen","possible","deep","14453615","author","77355","57662","2023-08-31","middle","2023-12-25","development","64695","2023-08-23","Range far respond field just result performance could source nature others fly.","paulmiller@example.net","ryanwest@example.net","wilsonrichard@example.org","bjimenez@example.org","2023-06-20","recent","treat","196 Cody Mill
East Emily, OR 24513","2023-09-06","Media Konsumen","one","2020-11-01 10:44:04.741147","society","to","2024-01-27 13:59:38.438369","various","message","Banking","use","themselves","ask","ball","19612123","share","2023-11-08","before","48916366","Kabag","protect","structure","33714228","amount","health","large","54699","Write themselves young fear many stand church difference far fast citizen accept table.","Email","mission","particularly","kid","recognize","859-529-9599x116","2023-06-02","wrong","nor","news","information","respond","feliciaalvarado","In Progress","New","five","try","60921230","professor","Carrie Phelps","break","radio","91860221","fly","PM","Kembali ke Submitter","577-279-9079","kathryn32@example.net","Call","hansenmason","Melinda Howe","contrerasmegan","50474042","she","shake","upon","dinner"
"form","2024-02-18 03:17:49.258423","Agent Sosmed 2","44861122","conference","phone","David Winters","modern","election","32168261","challenge","81139","77802","2023-10-19","you","2023-05-06","career","85130","2024-02-20","Break nor have set a late.","juanbrady@example.org","ddaniel@example.net","zbradshaw@example.com","vvalenzuela@example.net","2023-07-25","also","system","15855 Lambert Tunnel Suite 220
East Jerry, NJ 79322","2022-04-16","Media Konsumen","some","2020-11-29 05:15:38.043084","over","though","2021-06-06 22:01:05.138173","wear","green","Kartu Kredit","start","reduce","still","camera","83766844","make","2023-12-28","friend","12305386","Admin (CRS)","keep","including","38517366","movement","open","evening","25417","So start low a drop carry sell important.","Email","not","fire","within","cold","373.203.7503x182","2023-01-25","natural","break","sit","maybe","lot","holly37","Missed","New","away","TV","2101064","then","Monica Anderson","crime","its","66296375","thousand","collection","Update Nama","633-451-2140x76033","ortizlaura@example.net","Call","mathewsstacy","Kimberly Ashley","tracey96","68836671","drug","by","north","look"
"conference","2020-11-04 23:05:20.178598","Contact BRI","3109729","feel","artist","Katherine Johnson","center","admit","86138790","fly","63167","42645","2023-03-07","foreign","2022-04-15","run","32157","2024-01-16","Everyone data heart situation share worry cover score on new.","michellesimpson@example.org","jennifer18@example.net","aking@example.org","nicholas06@example.net","2022-08-03","car","store","USS Williams
FPO AE 15838","2024-02-01","Media Konsumen","cold","2023-08-12 04:23:20.196663","thought","machine","2024-02-22 21:20:59.130733","or","door","Banking","court","look","market","fall","28897706","gun","2022-08-13","various","64099818","Staff","understand","use","1562662","quality","middle","western","95905","Several give source down matter speak responsibility.","None","moment","black","sport","situation","716.665.8970","2022-03-26","these","manage","season","author","big","kara65","Missed","Return","strategy","technology","75725537","base","Edward Sanchez","stand","individual","1338777","power","hard","Update Nomor rekening","001-796-340-1403","michael65@example.net","Call","michelle37","Sherry Hill","deborahayers","39756497","according","type","large","development"
"do","2022-07-02 02:24:32.205063","Agent Sosmed 3","79884173","in","up","John Castillo","small","until","22958241","garden","69153","52801","2023-12-15","professor","2023-05-16","thus","19793","2022-05-11","Ok building beat mention mother responsibility science relate defense marriage different enough especially.","amcclure@example.com","nbecker@example.org","thomasbernard@example.net","teresaescobar@example.net","2023-09-03","direction","will","036 Buchanan Isle Apt. 249
West Garrett, WA 60718","2022-05-24","Instagram","agree","2021-10-23 14:10:21.715524","teach","information","2023-03-23 06:54:05.298840","do","whatever","Kartu Kredit","suggest","science","number","ten","8930110","key","2024-02-14","apply","56844277","Wakabag","seven","writer","56315075","out","campaign","thousand","33956","Way board too read wrong growth avoid.","None","bill","give","level","performance","424.673.4354x3169","2023-07-23","seat","probably","tonight","inside","however","adrianharrison","In Progress","Assignee","tough","economic","80857188","drug","Wesley Cook","bar","prepare","10853548","seven","heart","Question","703.800.4814","thompsonjacob@example.com","Non call","lkim","Wesley Banks","gpacheco","18395853","those","this","through","color"
"daughter","2023-02-28 19:37:45.693206","RPA Sosial Media","11195492","blood","Congress","Jeremy Jensen","new","serious","51741856","talk","85120","16997","2023-05-27","pick","2023-01-11","toward","46487","2023-02-20","Where involve usually bar may religious style couple baby over hair care.","kennedyveronica@example.org","pattersonregina@example.net","vmartinez@example.org","zguerra@example.com","2022-07-14","money","language","138 Mcclain Corner Apt. 044
Michaeltown, MT 22997","2022-10-20","Email","material","2022-07-17 08:38:56.776781","us","director","2024-01-07 02:46:17.581193","moment","score","Banking","medical","former","forget","moment","49435853","produce","2023-03-03","east","56964692","Wakabag","assume","do","12613568","determine","recognize","popular","80339","Seek hand heavy serve office pretty test institution speak hold history weight.","None","able","scene","response","provide","347.721.3635x8284","2023-07-11","weight","save","interview","than","purpose","qcombs","Met","Assignee","also","risk","2326486","news","Joshua Davis","edge","morning","38115106","ask","about","Return Ticket","+1-629-688-1239x74551","tgreene@example.com","Call","katrinaobrien","Kristen Miller","jessica60","21658270","special","true","page","upon"
"marriage","2021-09-02 00:52:55.420577","Assign to Support","50975555","physical","speak","Joshua Pittman","already","whose","94161275","five","61591","20070","2023-07-22","condition","2022-07-19","best","23122","2024-03-10","Mr certainly especially street Congress process crime run well fish.","alex95@example.org","johnsonkayla@example.com","betty37@example.net","harrisderrick@example.com","2022-07-10","attorney","may","6186 Katherine Summit
West Nicoleside, OR 21298","2023-08-21","BRIPENS","process","2023-10-30 07:20:18.882155","red","center","2022-09-11 16:38:03.147510","try","suddenly","Kartu Kredit","drive","right","director","our","92711101","business","2022-03-24","type","2064465","Unit Kerja","seven","it","58759666","should","entire","even","21980","Free improve discuss wall usually many need kitchen hear.","Email","race","exist","apply","car","779.871.6515","2023-04-05","top","course","contain","agency","our","linda92","Met","New","despite","human","71423372","training","Kathleen Miller","develop","certain","55005432","exactly","option","Incident","6507020223","karenlopez@example.org","Non call","william32","Pamela Nichols","timothy35","56549804","enter","catch","material","back"
"will","2020-02-18 09:07:13.188305","Agent Sosmed 2","63502256","else","outside","Holly Parker","four","police","79296107","plant","14741","61724","2023-07-23","thought","2023-11-11","budget","57438","2023-11-18","Allow toward compare production much employee reality agent rise.","elizabeth58@example.net","joneswendy@example.org","gregorygarcia@example.org","lreyes@example.org","2023-04-19","change","very","02026 Lee Groves Suite 746
South Donaldville, WI 24864","2023-08-10","Bank Indonesia","attack","2020-11-06 20:53:42.900086","trial","such","2022-08-13 00:32:00.105887","woman","goal","Kartu Kredit","author","light","air","clearly","83057495","once","2023-03-07","mind","56624109","Wakabag","time","young","58518260","trouble","middle","new","61741","Return my feel teacher summer one.","Email","protect","work","debate","size","6683818186","2023-06-12","do","war","believe","ever","maybe","fernandezsara","Met","Closed","part","through","79827335","memory","Joshua Hobbs","after","me","13377241","grow","shake","Update Nama","471.653.1091x2250","castanedadebra@example.net","Non call","benjamin64","Evan Richardson MD","rodneygibson","32957601","investment","stock","lot","fact"
"Congress","2023-06-28 02:51:22.148393","Agent Sosmed 2","33202291","foreign","probably","Earl Brandt","simply","issue","25684569","mother","26431","99164","2023-09-13","energy","2023-10-03","wonder","52475","2022-04-02","Natural system coach draw crime network skill.","austinsmith@example.org","gonzalezlinda@example.net","elong@example.net","prodriguez@example.org","2023-08-20","reality","team","5789 Mark Ford Apt. 364
East David, ND 82286","2022-10-08","MMS","guy","2023-12-17 03:34:26.959757","eat","radio","2020-02-06 20:19:47.510024","eye","notice","Kartu Kredit","south","statement","assume","agent","22316187","before","2023-01-29","social","18595484","Staff","national","base","70624689","technology","shake","fill","64742","Wait scientist year option once time.","None","very","population","enjoy","either","294.946.3597x8823","2022-03-22","soldier","director","any","especially","agreement","reneeperkins","Missed","Assignee","agency","want","76645947","can","Tracy Paul","important","always","3512816","watch","success","(clear)","+1-248-816-9352x1902","davidlopez@example.net","Non call","pramos","Crystal Mcfarland","mariahwilliams","85977741","building","mean","sure","recently"
"hard","2023-09-06 01:02:03.647449","Agent Sosmed 3","35807209","everybody","month","Ashley Robinson","outside","exactly","33001768","some","90862","84782","2023-09-24","religious","2023-07-04","television","75283","2023-10-18","State where point friend miss seat economy surface east after government guess.","freed@example.org","bscott@example.com","hudsonpaul@example.net","morrisrandall@example.net","2023-05-20","anything","administration","243 April Centers Suite 448
East Matthew, SC 40394","2023-08-16","BRIPENS","both","2022-10-13 02:19:28.802345","radio","opportunity","2021-10-28 20:05:11.875439","sing","fear","Banking","whatever","church","next","maybe","79560943","more","2022-10-01","letter","16698792","Admin BRICare","anyone","size","15739944","mention","message","yet","51715","Story brother who society paper job particular best memory.","Email","goal","say","range","talk","+1-496-264-7036x93549","2024-01-23","community","large","American","cultural","physical","roger58","Met","Not Used","least","hear","294289","candidate","Rebecca Bolton","always","major","94025794","audience","marriage","Escalation Ticket Double","(798)795-6813x6805","frenchscott@example.org","Non call","hollyhayes","Bryan Jones","craig14","63401475","nice","view","effect","else"
"example","2023-04-23 20:41:41.071130","Nama Pekerja + PN dari tiap GIC (User Group)","5952031","change","away","Aaron Richardson","single","language","62995913","machine","71375","78943","2023-11-22","drop","2024-02-25","if","51366","2023-03-04","Worker federal security education of shoulder along.","davidlowery@example.com","robertskevin@example.net","carterpatricia@example.com","isabellastanton@example.org","2022-08-25","range","buy","877 Theresa Manors
Jenniferhaven, CO 86345","2022-06-26","Instagram","yard","2022-08-23 05:24:44.544332","north","anything","2021-10-22 05:27:28.771969","do","write","Banking","now","admit","full","report","49138344","alone","2023-05-13","entire","65840888","Supervisor","sport","check","98010696","attorney","share","into","93610","Office whole push put until information art ahead approach.","None","bag","out","hope","raise","(416)989-7761x9809","2022-10-12","detail","treatment","full","beyond","begin","daniel58","In Progress","In Progress","item","thing","42585673","speech","Michael Davenport","best","source","62647064","follow","deep","Update Detail","001-909-485-1868x5354","coffeymichele@example.com","Non call","agonzalez","Kevin Morales","tabitha89","24907482","popular","order","already","sign"
