"Username","CIF"
"@wwilliams","1491122051"
"vgriffin.gomezkimberly","8035355505"
"acohen.cdonaldson","5166483632"
"@wagnerbrittany","2784018270"
"cynthia55.beckryan","9922832373"
"@david88","5092093401"
"andrewmcgrath31","4646074613"
"hallalicia.29","9378420675"
"madeline62_2j","4839365504"
"bwilliams_5gh","9477610005"
"torressteven.moorejessica","2538848105"
"wendy2097","3510981506"
"smithdavid_kfe","2917290862"
"david13_d6ior","3532489247"
"rodriguezpatrick_5n0s","4680844714"
"vtaylor95","9633226302"
"@hgonzalez","6498465715"
"brittany9136","1771531151"
"murraylisa_i","9469830949"
"@carteramy","0051408968"
"dbarnett81","8376804094"
"wgreene43","0594081407"
"james61.26","8574239895"
"michaelmills68","9747763231"
"toddharris.wfrazier","8847320232"
"@wtorres","0838627097"
"barnesjessica.69","2680779699"
"wmartinez_si","6628644300"
"shawn27.90","9346078303"
"@dawn67","7906349498"
"chelsea44.54","4069627430"
"holderrebecca_8","6400767279"
"alvaradorobin59","9541493807"
"@stevenstravis","4245147603"
"francojeffery_82z","3670646041"
"michael17.79","6495133723"
"michaelhoward77","5774264289"
"@lambertsusan","0251131617"
"@annalang","8409390659"
"@griffithamber","7492714599"
"shannon88.","6444665504"
"williamstrevor.margaret41","2743571253"
"derek00_i","8477502556"
"harrisonsean.","0843781399"
"fmanning_m","7064252095"
"@dtaylor","8939927310"
"cindyorozco.wmiller","5767109150"
"jason25_q3sg","3498786072"
"wmorrow_b","7516253930"
"erika75_za","7416504923"
"qmadden54","1822630765"
"uharris84","2885891215"
"perezjustin.ruizrachel","3016844516"
"sconner_8","6238811537"
"rayers.54","1750526565"
"tonya00_4","3673279163"
"@marilyn33","3514070064"
"@hfarmer","1013619028"
"vshaffer.","3047710385"
"omoore57","2798745862"
"collinsrichard.10","9579107539"
"darrellsimmons_sip","5087927446"
"paulbartlett27","1976244270"
"moorejonathan_cf4u","2572306185"
"@parkerchristopher","8558256368"
"@jimenezpaula","2408110103"
"dmorgan.46","7353780974"
"julie2063","2244269292"
"@gentrykayla","2838477137"
"@jacksonkelsey","3262931579"
"paula75_h","4005246779"
"christopherjones39","7712343545"
"sheila15_5","2454504941"
"kimberly91.45","5074607423"
"scottbryan34","8043073899"
"cruzcandice.20","5901533084"
"@jessicacastaneda","3369823830"
"adamholmes.rrichards","1787334138"
"michaelrodriguez47","9657479998"
"sheilaharris.zsantiago","8976844447"
"@ginaochoa","7218601507"
"woodryan.83","6072093331"
"obooker_coz","4591242214"
"james34.79","4636814163"
"wheelerteresa_62a","5981908351"
"ewingwilliam_tt","9520370998"
"@harpermelinda","4070772493"
"mschmidt_opv9r","8117224673"
"ghill32","5495073090"
"pchapman91","3366078710"
"amydouglas_3d","2503709050"
"wendyrodriguez.","0296700797"
"@alexisschwartz","4757015589"
"anthonylove_d7zx","6173616212"
"@kevinadams","0027276023"
"sshelton14","7901562587"
"@kjohnson","5798918382"
"fwarner11","0848729863"
"andersonmatthew_bldg","0691213130"
"kevin7934","5827577609"
"cochranmelissa.mariah11","8613582723"
"amartin_74a","9900918286"
"@collinmorales","7523270102"
"sparker.rwhite","1070750768"
"@peter10","3933110562"
"williamscarrie61","5196752871"
"james03.nicolewashington","3210363436"
"meganbaker.","6641541143"
"george8144","0959558091"
"holmesjeffery.katherineturner","7736376884"
"@colebrian","8717080177"
"@austin85","7543798236"
"sharpaustin_dx1a","6420810157"
"veronicaadams_9k","2350771161"
"martinclaudia45","5427837197"
"morrisonpatrick_sp","1081101379"
"herringamanda.70","5655853214"
"brianbrown92","0472582605"
"fergusonleslie.","1313625221"
"douglas44_h","6408863661"
"darrellyoder_vkh","0665224473"
"@jeremy18","9658568063"
"@luis44","8773039549"
"wilsonjasmine_t","2570143615"
"michellewilson31","6809546600"
"@whitehaley","7946525610"
"jaclyn20.vharper","6247945247"
"@cameron24","1331820155"
"calebhale.76","9328369597"
"gonzalesleah_n","6175564622"
"michael3573","2691817824"
"gardnerronald.","6501383576"
"@vanessa78","3020543587"
"@cherrykimberly","7969218260"
"whitewendy77","6722471467"
"ssosa_9tzq0","9682220893"
"gdelacruz_h","9248526683"
"jonestyler.mark71","2034890562"
"brianduran.","7312960843"
"@carla57","5175152681"
"@bergersamuel","9045797283"
"@monicaescobar","9907437167"
"tiffany68_v","8954754253"
"mholmes_7gcx","4755278703"
"donna16_zn55","3445443698"
"@hlarson","3769567466"
"@jose66","5223438987"
"@mturner","5625270342"
"simslaura_mpes","0818643818"
"thompsondaniel_q","1509197664"
"@ischroeder","1781448583"
"rileyfelicia.11","2940114159"
"alexandra31.21","6561035905"
"qmora_i","0844427892"
"emily9848","1939752694"
"newtonsarah63","8221132715"
"stephen9164","4610545105"
"nelsonrichard58","8003969691"
"wilsonann58","7944012418"
"luis85.vcannon","2687977200"
"heidi47_ghu3m","8936812577"
"jbright_j","6094035526"
"ljones.","0292367651"
"wford_4bg","3671131787"
"jennifer3722","4922963900"
"griffinrichard28","6206417277"
"@gpope","6037951696"
"cassandra80_hjrm","6788932840"
"cameron9927","6469469928"
"@kellyalisha","6370800106"
"julie9698","0386507277"
"@brittneyhuynh","9526166833"
"@kathleenjohnson","3048124774"
"zacharyjoyce.","2024993886"
"luis63_pty","0027827680"
"operez.craig03","9189409165"
"dhall.75","9242487376"
"barnettdebra.","5593139844"
"cheryl84.","6102316113"
"pwarren.uroman","2265042657"
"@zmiller","4027968742"
"watkinsjillian86","9612562262"
"jrobinson40","9632300008"
"qshaw42","6455614949"
"mendozaashley.40","9074352721"
"richardrice82","5114235553"
"@meltonmelissa","5554969784"
"@uyoung","7616917568"
"leemonica.","3414005935"
"gcox_u","0908260781"
"jasongomez_6m0b","1060209976"
"sullivancassandra_logn","2525749298"
"@morserenee","7497885532"
"patriciamartinez_h7gew","7425851363"
"sara94.","7866985724"
"michael68_7z8r","0305139223"
"brittneywright42","3039461483"
"corynichols64","3549115959"
"qkoch_ju3","9146685910"
"@alicia74","2263656326"
"@briggsdakota","8899238842"
"shannon77_byd","1067881882"
"asellers61","6167924252"
"aanderson.","0596290834"
"perkinsjill.68","8159823019"
"hunterkendra_mw","7403651783"
"melanieyates_0b5v","6642047615"
"tracy79_6i654","3079543597"
"mitchell7038","7026239249"
"@whitedaniel","2130084476"
"@brianhanna","1897244791"
"@williamssuzanne","8390076428"
"pduncan.","8264281748"
"@vshelton","1999547837"
"michelle9468","3570208174"
"@williamdrake","0228087053"
"@kimberlyford","6829640852"
"yrichard_hv","7271986930"
"holly7920","7898745004"
"jonjoseph82","1624005427"
"williamsanita.berrysherry","7707057540"
"elowe_2","2410292028"
"nicholassmith_ysui","5601005772"
"@williamsonfelicia","7869735943"
"alexis96.","1878245804"
"jmurphy_b3","1681530965"
"nancy73.95","8194292021"
"clarkeemily.jessica22","8922204467"
"@bakerstephanie","1387003556"
"benjaminmichael.zachary81","1718371446"
"@bfoster","4555010507"
"@michelleleonard","7000064433"
"katherinebrowning94","1850131032"
"cgarcia_x","1304631128"
"morgangonzalez.","0785881628"
"gmeyer_hjj0","8162957402"
"omayo_ncv88","0028723032"
"kimberlyberry.lisa82","8356866732"
"carolynlopez_2fqft","1599908410"
"fjones.","8489921718"
"megancarr.54","1091294007"
"nicolejones_xh","6018246935"
"wmcdonald_0x35","9495426314"
"rodriguezshawn76","1244252911"
"kimberly24.esmith","5462327015"
"@adrian65","3554683025"
"@anthony33","3795568766"
"vmartin_84","2459067494"
"@ashley65","8356020754"
"walkerdavid84","6667931601"
"snowjanice_1s5y","2760914869"
"bernardkenneth.hroberts","5238616785"
"vsteele80","4622638987"
"kellyfischer.85","4432624164"
"jessicamadden_gwz","3551874367"
"@georgejoshua","2400043081"
"john0913","1023558837"
"ksullivan.91","1766166963"
"robertsonnancy61","2697992058"
"jaredmosley.79","1646376871"
"martinezkathy_0f1os","5965510879"
"@ndiaz","0821901881"
"wardsteven53","2311319424"
"@tracy01","4039129367"
"@kayla85","2494595500"
"@amandaholloway","1364469921"
"@stephanie38","6525047860"
"samanthawoodard78","0700222736"
"@courtney88","0982596002"
"@ramirezalbert","1699486031"
"@michaelharding","1914017711"
"jessicanelson_4l4y","8088099934"
"@cody17","5214788203"
"oburgess_dl97","1148428669"
"jasmine30_j6nl","0298970067"
"sheltonsharon_3w","5685623365"
"naguirre74","5495613015"
"@frazierbrenda","0355746835"
"@ochan","9363157709"
"alfred49.15","9907738066"
"lisahanna_c0m","0871872639"
"@khandavid","7030417557"
"@jenniferlynn","3357562083"
"petersonbobby59","4593520258"
"lcolon_b1y","2519836548"
"@yfoley","2035261209"
"@mgilbert","0162014579"
"michaelperry_4x","6525013923"
"jesse16_plz","6594472425"
"@jeffrey61","4464126377"
"christophergalvan99","9223669623"
"czimmerman56","0804223965"
"blairchristian_9tc","6902664438"
"ryan31_chcp","8449376299"
"gonzalesvalerie70","1223904568"
"cartermatthew_om","1976547181"
"eric66_a","8138537408"
"amyking.93","8422354367"
"cheryl98_97tg","2542002401"
"nortonmichael_xd5","3306435039"
"@jenniferrivera","8770993314"
"walkerangela_q","3227374959"
"wrightwilliam.larry12","7120406881"
"xkeller_7ut","8357530825"
"parkerbrandi.10","4702311982"
"williamjackson_4e","3074188078"
"burgessdarrell.","0739138099"
"brittany60_nh","8579216671"
"timothy91_l7at","3656617042"
"geraldpeters.31","5704681145"
"@williamstracy","9308845798"
"@phillipsjessica","0802388012"
"psmith30","9224780096"
"fwhite_3rz0u","2680753795"
"@kevinfrye","0169482817"
"beankatie.","3739579021"
"@christine39","9688905271"
"ian62.59","2374539597"
"jeffrey21.sandovaltravis","6351955938"
"tgrimes14","0814326720"
"reneebarrera_u31","0339642857"
"@rachelleonard","7744445252"
"angela88.95","9376872861"
"aponce10","4541352277"
"robyn86.kimberlygray","9759436560"
"@mistymccoy","9631987563"
"valdezwilliam_07tg","1238479007"
"robbinsjordan_hhkk","8723788061"
"youngjennifer.","5526408602"
"longlydia_q5w","0694751889"
"mayosteven10","0879979570"
"nbutler_5bb4k","4447442961"
"wvargas_ovxw9","8350296083"
"@reneecross","6505737764"
"@rayjoshua","0460973441"
"@zachary79","1235015566"
"lisasmith_e3","8037844379"
"@fglass","3179289526"
"@staceydavis","8039666983"
"pamela64.nwaters","8566475763"
"megancasey81","3397802815"
"martintracy_5yo5","6309933860"
"sparker_95gsp","5747978212"
"patricia70_ru6rc","0118785929"
"@hannahharrington","8843138908"
"grahamkayla60","2789871163"
"@ymendoza","1363545314"
"newtonjacob_mbvb2","0981048760"
"mmitchell.24","0786113051"
"youngholly.28","3347726568"
"hobbsrobert.cynthiarodriguez","9028265935"
"stacey57_3gt","4540096484"
"ypadilla30","1645570979"
"robertsanna.","4086142751"
"lisa8636","6915274400"
"@wrightevelyn","1751785335"
"vherrera35","0473844454"
"nancy75_i","4657564746"
"@dorislittle","4599364929"
"@lstevens","3072713964"
"@thompsonjulie","6934285608"
"frankmurphy_t7","8564319698"
"kathryn2188","4167835388"
"kmiller.14","3767280241"
"davidsonbarbara49","5519296510"
"jenniferkim46","6646464619"
"pharrison87","4588211935"
"vgonzalez66","0379220643"
"westtracy.","5280914543"
"sherri23_uv18","9618784083"
"lawrence39.","6064432140"
"ypittman.12","0237435593"
"@julie49","4325976115"
"@davismichael","8084021369"
"ptaylor_n8do","2935414107"
"@shawkayla","5266686314"
"walkerchristopher96","7477768263"
"jasonmolina54","4313147237"
"@mclaughlinerika","4217867351"
"stevenshannon_pytb","9236930428"
"@evanscourtney","2199056168"
"@jacobguerra","5115698351"
"campospatty_t1o3q","2584850331"
"czamora.90","4838937829"
"andreachavez.","1814158407"
"savannahdeleon.","6027756332"
"hholloway_h","2619462842"
"phillip23_k","5940561995"
"mosleymichael16","7522032542"
"@kingashley","7817549467"
"@jacksonmatthew","8037919049"
"amy4669","7623226331"
"pricecory.tsingleton","8202693761"
"schultzhannah.","3647370549"
"nicolemelton_ryeq6","4009703273"
"@jonathanlogan","2771012066"
"@gsmith","4214906068"
"wangscott.heatherfrancis","8178557432"
"pinedanicholas33","5085086746"
"@robertsmatthew","4407743659"
"@randalllopez","4602732232"
"jeanne7459","1679513037"
"@stephenvaldez","2083797774"
"@casey21","9847958281"
"@williamsjill","7672917961"
"amber2146","2349902875"
"kellybutler27","0357723698"
"hermankayla45","1210672172"
"@rodriguezjesse","4630440710"
"@anthonyhansen","0777572830"
"hsawyer87","4356844030"
"david01_5","5997670241"
"@lwilson","9445297550"
"@nicholsmichael","8182938100"
"bobbywright.sheliamcclain","3643885915"
"hharris21","1538923930"
"sjones73","3873097038"
"@amy57","3100384120"
"powens26","3922154611"
"tholmes48","2317181950"
"bradshawlatoya_8","2393829968"
"caitlin5422","7321408700"
"@rburke","2192155085"
"robert39.","6550971471"
"juan7556","2150765149"
"@brittany82","8225709535"
"kimberly95_tx","7923701257"
"hayskent.57","9788110215"
"ryanolson_u02w","7115704260"
"wreed_yikey","4667652673"
"raymond80_p","7898375080"
"charleslee.18","9870455090"
"carrolljoshua.","8655116324"
"nicholasallen_fr","0160960468"
"scottross38","9776115334"
"@thomas47","7900868508"
"jessica11_po","0672223985"
"@fyates","6260671590"
"fcisneros98","5526077323"
"michaelreynolds_jr8l0","9678662083"
"ryanbonilla_q5j60","8274234264"
"umorgan.17","2332878473"
"stevenpowell72","4805530695"
"@ericagreene","9563942384"
"ysteele81","2470553286"
"iholland58","7724988810"
"@abryant","1220143156"
"@lhess","5631034119"
"@gscott","3963668746"
"@kmclaughlin","4700182884"
"@kruegerjoshua","4097954418"
"@stantonmary","0901875356"
"@shirley38","7278376710"
"castillohenry_hl","7889687823"
"rodgersmonica84","6700562489"
"gcannon_hn","1058017057"
"melvin79_t0cx8","6169288077"
"davidpatel86","6359816874"
"phillipthomas_sbrgn","2110420028"
"brenda0750","5164174789"
"stanleychristopher18","3390897665"
"joel72.sarah30","6693351566"
"dedwards.","0840154941"
"stacyglenn60","8383741899"
"lwatson_0x9","9202448269"
"jtorres_f","2034520344"
"jacqueline25_3u2","0793642198"
"cainvictor53","4444928104"
"joeljones25","3468708634"
"zlopez_my3","5394980996"
"@bradleyteresa","1346959590"
"edward5132","2816154793"
"kristiroberts_fdin3","1047851546"
"alexisscott_kb","9135372730"
"gracewilliams_iqck","1795263876"
"tracyhernandez_t6udm","9314143455"
"caseystewart_r","5622823808"
"chandlernoah_zv","9406339417"
"justinturner19","1094538841"
"vhuff94","0785416681"
"katelynjones_elsg","6741344922"
"jessica6451","3982185772"
"@damon62","7306887205"
"@meyerjames","3784836945"
"pottertammy_7u","4277134868"
"@sara21","6146204210"
"laurajones.jeff74","1228881118"
"williamsmichelle.33","5943484663"
"terryjose79","0301181348"
"atkinsonaaron_zqi","7272123860"
"bburke_ymb6","7026621709"
"marcusrangel.34","5613353001"
"chadwright69","5588655146"
"@dianewilson","8527391237"
"jermaineray31","3856513708"
"@charlespatrick","0324869538"
"gregory7492","8792392294"
"charlesdunn87","4068025664"
"jking68","8953359296"
"matthewrodriguez_2","9181002614"
"gsmith85","7386239786"
"deanjose_qvwgh","1706354345"
"scottfowler_eu3u","0095756359"
"@gfranklin","7108166235"
"don46_2sw8","6146874487"
"mark59.30","0886289844"
"igrant.25","0628709066"
"justin34.coreyphillips","9789288223"
"njones74","9960775216"
"jwatkins_4","7785386279"
"hollandstacey87","2598991193"
"anthony53_nb","6170639662"
"emilylee_31","8494249882"
"smorrison.","9081931549"
"qdaniel32","4923668297"
"@smithgrace","9193627895"
"collinskelli.thomaslynch","8140293944"
"fhenderson_upfw","2855486612"
"kevin11.johnsontara","1275068903"
"rmartinez_djz29","4828894015"
"vincentmichael.gmccullough","9899271783"
"jortega.allenthomas","2252774420"
"@jburch","6915236629"
"@mkemp","5464041823"
"teresacole.17","2844957819"
"lorireed35","5857320742"
"wayne83.luis77","6197582736"
"james10_mj","9103115973"
"matthewproctor_9","4829223464"
"@hkelley","3469629075"
"willisdebra.jasmine29","1945271075"
"samantha42_u","5253212034"
"charles48_wb","1301436889"
"@danielconrad","2872568915"
"kaylagreen_ezv","6412305994"
"perezmary.jadams","5228661314"
"barnesjessica.deborah81","5511123103"
"martha38.browntracy","3635318083"
"@mscott","1915201286"
"karenjohnson.63","4540278765"
"adamswendy_32h8e","9530653813"
"@davidsmith","6446440281"
"david76.timothywade","9882537363"
"kevin79.61","8402262552"
"ewilliams_54","2324884447"
"@amy73","7627720110"
"wcharles.griffithkathleen","5020607460"
"luis2523","0098385560"
"alexandra48.","5555700501"
"garrett2080","3975909413"
"@rrivera","3450314392"
"stephaniebond_1ei11","0708301744"
"samanthacarr.43","4260772659"
"christophergibson_4r","3429194204"
"hernandezmichael92","1040319934"
"austingonzales35","9229019621"
"jwyatt60","6052645019"
"@maxwellcook","5154768131"
"christina0419","1765994010"
"emily05_j","8531270525"
"ubrown.hughespatricia","8839776599"
"hurleydesiree_28","9997208519"
"@carterscott","7447306451"
"hmoore_733","2120748327"
"ygarza_g","2403222464"
"ellisonmartha.sandovalrichard","6362008117"
"joshua7457","7299968099"
"@floresalfred","1108112064"
"xweaver.","9246591836"
"jeremiahmeyer_j23l","6055843468"
"sandraanderson_d2t","3433061885"
"lisa83.","2608516141"
"adamsalinas_qxtx","0232635859"
"@alexiscruz","2106501358"
"rachelrodriguez.hartmichael","3568861463"
"@hernandezdebra","3512085166"
"shawnahenderson_29trd","0535313313"
"ruizsally.woodteresa","2535280027"
"@horntimothy","2278400397"
"atran_8","7776934648"
"vwright92","1276786084"
"crystalpatterson.","9616725507"
"@igray","2429257686"
"sharon52.88","2127877844"
"lauren10.30","6622705129"
"karen5413","3969613336"
"maciasjennifer.79","7272465027"
"thompsonjeffrey76","7642638693"
"@davisdouglas","1904174997"
"courtneyosborne_fl","7160072351"
"boltonapril.","1523575930"
"danaflores.anthony44","3737565230"
"briana14.courtney73","1857945387"
"bobbyreyes.greenashley","9727688305"
"@thomaswhite","2753762352"
"zgray_7iqe","2746838995"
"wnichols55","5142030209"
"jeremy62_93","4489828175"
"@qpayne","8058666145"
"@laurensanchez","9875788114"
"tamaramccall_2q","0177394890"
"@scottmiles","4643210087"
"vanessa00_wqr","0286231083"
"ethansmith.ashleyjackson","6413026570"
"rodgersjames61","4928498896"
"nichole66.lanecassidy","4466267733"
"mark3868","1945579365"
"@jroberson","6157534887"
"phillipsjohn.watsonkayla","2167416595"
"amandabrown_h3ud","4591118012"
"bcallahan_vbnm","8971867272"
"timothy2636","7777950624"
"hzamora81","4098650648"
"john53.","2140411036"
"marie8297","4740113270"
"campbelljason64","8022682247"
"turnerjoy79","2059039828"
"william67_33dt6","9994856923"
"@marcus80","8897028600"
"johnrivera_pl","9737451367"
"cabrerarobert.ortizpatrick","3356480094"
"stevebrown26","8711208462"
"fuenteskimberly_x0z","6420166989"
"@tsilva","8018266519"
"@parroyo","7688438757"
"@fischerjames","7842624173"
"debbie45_0wg","1804621816"
"@kimamanda","9565363013"
"matthewsullivan55","6682614510"
"michael2510","2147774821"
"@donald25","1571837104"
"danunderwood_5z","8068751749"
"todd83.mark30","3933963477"
"bradfordamber.coxkristie","7272398350"
"wyatt8389","5856353734"
"@jennifer35","5473281455"
"jthompson78","5344599536"
"@campbellemily","0923296483"
"@connorroberts","7004665205"
"garyrivera.john39","9450253913"
"qpeters42","5395911953"
"harrellamy_g6yv","5997314889"
"larryphillips_roiui","1003309806"
"@keithrodriguez","3933145990"
"hmartinez28","8092776436"
"@xlewis","7935776972"
"@michaelhurley","3091047188"
"@jkim","3988399095"
"doyletara.rodriguezchristopher","9780455238"
"jaredwright73","1207336754"
"emilycallahan.thomasrobert","2402125246"
"cpayne.60","6644371259"
"@joseph44","9681937993"
"valenciakimberly.44","6151164162"
"ashley33_h1pwt","2941087990"
"@vmitchell","8719052235"
"khughes13","7551040826"
"mooregreg.tyler62","6487492882"
"mary2458","2252435628"
"meganbates.87","3910307116"
"erika0474","8109435240"
