Ticket_ID,Call_Type_ID,Call_Type,Create_Date,gateway,Jenis_Laporan,Nama_Nasabah,No_Rekening,Nominal,status,TanggalClosed,tanggalTransaksi,Chanel,Fitur,Nomor_Kartu,user_group,assgined_to,attachment_done,email,full_name,no_telepon,approver_login,approver_name,SLAResolution,submitter_login_id,submitter_user_group,user_login_name,Jenis_Produk,Last_Modified_By,Merchant_ID,Modified_Date,NOTAS,Produk,SLA_Status,TID,tanggalAttachmentDone,Tgl_Assigned,Tgl_Eskalasi,AnalisaSkils,Attachment_,Bank_BRI,Biaya_Admin,Suku_Bunga,Bunga,Butuh_Attachment,Cicilan,Hasil_Kunjungan,Log_Name,MMS_Ticket_Id,Mass_Ticket_Upload_Flag,Nama_Supervisor,Nama_TL,Nama_Wakabag,Nasabah_Prioritas,Notify_By,Organization,Output_Settlement,phone_survey,Return_Ticket,Settlement_By,Settlement_ID,Settlement,Site_User,Status_Return,Status_Transaksi,Submitter_Region,Submitter_SiteGroup,Submitter_User_group_ID,Tanggal_Settlement,Tgl_Foward,Tgl_In_Progress,Tgl_Returned,Ticket_Referensi,Tiket_Urgency,Tipe_Remark,UniqueID,users,Usergroup_ID
TTB000043833992,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:09:26,BRIMO,Complaint - Transaction,Kesya,123456789012345,1000000.0,Closed,,,ATM BRI,Tarik Tunai,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,8,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204648450,Non Call,6
TTB000043833991,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:09:22,BRIMO,Complaint - Transaction,Lurna,123456789012345,1250000.0,Closed,,,ATM BRI,Tarik Tunai,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,8,,,,Transaction Solution,bricare_admin,,,,Transaction Banking, Missed,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Berhasil,,,4,,,,,,,Notes,NBMB496204638045,Non Call,6
TTB000043833990,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:09:19,BRIMO,Complaint - Transaction,Morina,123456789012345,100000.0,Closed,,,ATM BRI,Tarik Tunai,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,8,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204634594,Non Call,6
TTB000043833987,8915,Gagal Setor Tunai di CRM BRI Via BRImo / Kartu Debit,2023-01-01 07:08:42,BRIMO,Complaint - Transaction,Najwa,123456789012345,600000.0,Closed,,,CRM,Setor Tunai - gagal dengan Kartu Debit,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,10,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Berhasil,,,4,,,,,,,Notes,NBMB496204555230,Non Call,6
TTB000043833984,8433,Pembayaran Tagihan Gagal; Saldo Berkurang,2023-01-01 07:07:55,BRIMO,Complaint - Transaction,Okky,"1,23457E+14",280000.0,Closed,,,ATM BRI,Pembayaran,5221234567890120.0,LCC-ISSUER,,,,,81234567890.0,,,20,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Dewi Kartika Sari,,,,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204454452,Non Call,1
TTB000043833971,8602,BRIMO,2023-01-01 07:04:37,Phone,Platform & Device Support,Puput,,0.0,Closed,,,Aplikasi,User ID terblokir,,LCC-CCTCALL,,,,Alang Bagus Sakariti,81234567890.0,90022934.0,Adhi Nitidharma,20,90107912,LCC-CCTCALL,Alang Bagus Sakariti,Mobile Banking,90107912,,,,Servicing,Met,,,,,,Yes,BRI,1672531477.0,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833974,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:04:28,BRIMO,Complaint - Transaction,Qory,123456789012345,1000000.0,Closed,,,ATM BRI,Tarik Tunai,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,8,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204016908,Non Call,6
TTB000043833970,8413,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,2023-01-01 07:02:58,BRIMO,Complaint - Transaction,Risnawati,123456789012345,500000.0,Closed,,,ATM BANK LAIN,Tarik Tunai-Terdebet,5221234567890120.0,LCC-ISSUER,,,,,81234567890.0,,,14,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Dewi Kartika Sari,,,,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,,,Berhasil,,,4,,,,,,,Notes,NBMB496203828123,Non Call,1
TTB000043833969,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:02:58,Phone,Request,Susilo,123456789012345,0.0,Closed,,,,Blokir Kartu,5221234567890120.0,LCC-CCTCALL,,,,Imas Prapitasari,81234567890.0,90022934.0,Adhi Nitidharma,20,90136579,LCC-CCTCALL,Imas Prapitasari,Kartu Debit,90136579,,,,Servicing,Met,,,,,,No,BRI,1672531378.0,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833957,8410,Kegagalan TAC / Transfer Lainnya Lewat BRI,2023-01-01 07:02:32,Phone,Complaint - Transaction,Tri Rusna,123456789012345,0.0,Closed,,,ATM BRI,Transfer,5221234567890120.0,LCC-ISSUER,,,,Novia Ruth Siahaan,81234567890.0,,,10,90150386,LCC-CCTCALL,Novia Ruth Siahaan,Transaction Solution,90150386,,,,Transaction Banking,Met,,,,,,No,BRI,1672531352.0,,,No,,,,,No,,,,No,,Bank BRI,,,,,,Yes,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
TTB000043833657,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:01:37,Phone,Request,Una Citra Renawati Saputri,123456789012345,0.0,Closed,,,,Blokir Kartu,5221234567890120.0,LCC-CCTCALL,,,,Ayuk Fitri Lifiani,81234567890.0,,,20,60668,LCC-CCTCALL,Ayuk Fitri Lifiani,Kartu Debit,60668,,,,Servicing,Met,,,,,,,BRI,,,,No,,,Ayuk Fitri Lifiani .,,No,Dika Purwarini,,,No,,Bank BRI,,,,,,No,00196 -- KANWIL Semarang,,,Semarang,KANWIL Semarang,4,,,,,,,Notes,,Call,4
TTB000043833967,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:01:32,BRIMO,Complaint - Transaction,Venna,123456789012345,100000.0,Closed,,,ATM BRI,Tarik Tunai,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,8,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496203650298,Non Call,6
TTB000043833958,8501,Pengajuan PIN baru (Pin salah),2023-01-01 07:00:32,Phone,Request,Wawan,,0.0,Closed,,,ATM BRI,PIN,,LCC-CCTCALL,,,,Erika Kurniasari,81234567890.0,90022934.0,Adhi Nitidharma,20,SMG61063,00196 -- KANWIL Semarang,Erika Kurniasari,Kartu Debit,SMG61063,,,,Servicing,Met,,,,,,No,BRI,1672531232.0,,,No,,,,,No,,,,,,Bank BRI,,,,,,No,00196 -- KANWIL Semarang,,,Semarang,KANWIL Semarang,2696,,,,,,,Notes,,Call,4
TTB000043833964,8202,Informasi Product Banking,2023-01-01 07:03:03,Phone,Products / Promotion Inquiry,Yusna Mika,,0.0,Closed,,,,,,LCC-CCTCALL,,,,Weni Intan Kurniasih,81234567890.0,90022934.0,Adhi Nitidharma,20,90141476,LCC-CCTCALL,Weni Intan Kurniasih,"Informasi Promo, Program, Produk",90141476,,,,Servicing,Met,,,,,,No,BRI,1672531383.0,,,No,,,,,No,,,,,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833952,8433,Pembayaran Tagihan Gagal; Saldo Berkurang,2023-01-01 07:00:19,Phone,Complaint - Transaction,Zaka Putra,"1,23457E+14",5350000.0,Closed,,,ATM BRI,Pembayaran,5221234567890120.0,LCC-ISSUER,,,,Adelia Awanda Dania,81234567890.0,,,20,90148127,LCC-CCTCALL,Adelia Awanda Dania,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Dewi Kartika Sari,,,No,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,00229 -- Kas Kanpus,,Gagal,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
