NO,CASE TYPES,USER GROUPING_NEW,USER GROUPING_OLD,SEGMENT,PRODUCT,SUB PRODUCT,CASE CATEGORY,CASE DESCRIPTION,NEW CASE DESCRIPTION,REQUIRED SUB-DESCRIPTION,SUB,DOC INTAKE,LIST KEBUTUHAN DOKUMEN,SUGGESTION,SUGGESTION - BREAKDOWN,LEVEL OF EFFORT,"RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)",BRI NOTES,TEAM NAME,T1 - AGENT CCT/FRONTLINER,T2.1 - SUPPORTING UNIT,T2.2 - SUPPORTING UNIT,T2.3 - SUPPORTING UNIT,T3.1 - PRODUCT OWNER,T3.2 - PRODUCT OWNER,T3.3 - PRODUCT OWNER,T4.1 - TECHNICAL TEAM,T4.2 - TECHNICAL TEAM,T4.3 - TECHNICAL TEAM,T5.1 - THIRD PARTY,T5.2 - THIRD PARTY,T5.3 - THIRD PARTY,TOTAL SLA,NEW SLA,STATUS,GIC,MAKER,CHECKER,SIGNER,COURTESY AWAL,KEBUTUHAN DATA,JENIS PRODUK DAN ATAU LAYANAN LKPBU,KATEGORI PERMASALAHAN LKPBU,JENIS TRANSAKSI LKPBU,PENYEBAB PENGADUAN LKPBU,JENIS PRODUK LBUT,SANDI JENIS  PRODUK LBUT,SEBAB PENGADUAN LBUT,SANDI PENYEBAB LBUT,SF_ID,EXTERNAL_ID,ERROR
163,8226,Resolution Center,Service & Contact Center - CRS,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,BRIfast Remittance - Transfer Internasional (Gagal Transfer International namun saldo tetap berkurang),Nasabah Komplain Gagal Transfer International (BRIFast Remmitance),1.0,"1. Selisih Kurs Refund
2. Dana tidak diterima di rekening tujuan
3. Salah Transfer",0,,No Change,Move to INT. TBC sementara di CRS dulu,Low,3 ~ 5,2.0,10.0,"Sub: Selisih Kurs Refund, Dana tidak diterima di rekening tujuan, Salah Transfer Note: Butuh konfirmasi dgn POD terkait penggunaan DiO. TBC","T2.1 - CRS , Include POD(RSP), Include POD(ORC)",1.0,3.0,,,,,,,,,,,,4.0,3.0,,LCC-CRC,,,,1B,Regular Banking,Remitance,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Remitansi,RT,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dY2AQ,1638226,"Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
164,8227,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,"Transfer BI fast gagal, Rekening terdebet",Nasabah Komplain Gagal Transfer BI-Fast dan saldo berkurang,0.0,,0,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,3.0,10.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include Bank Peserta BI-FAST",1.0,5.0,,,,,,,,,,,,6.0,5.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,Electronic Banking,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Kliring,KR,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dZ2AQ,1648227,Customer Segment: bad value for restricted picklist field: All
167,8401,Distribution Network,Distribution Network,Individu Umum,Transaction Banking,Transaction Solution,Platform & Device Support,Status mesin ATM/CDM/CRM tidak bisa digunakan / Offline,Nasabah Komplain Mesin ATM/CDM/CRM tidak bisa digunakan,0.0,,0,,No Change,,Very Low,0 ~ 2,1.0,0.0,CHM perlu terintegrasi (mirroring) dengan Portal Echannel untuk create/update ticket ke vendor,"T2.1 - DNR, T2.2 - Branch(Uker) include Vendor",1.0,1.0,2.0,,,,,,,,,,,4.0,3.0,,DNR - EOM,,,,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dc2AA,1678401,Customer Segment: bad value for restricted picklist field: All
172,8410,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Kegagalan TAC / Transfer Lainnya Lewat BRI,Nasabah Komplain Gagal Transfer ke BRI,0.0,,0,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,10.0,"Dekripsi belum final, Penambahan Call type terkait transaksi pindah buku (antar BRI)","T2.1 - NFT(ISSUER), T2.2 - Branch(Uker)",1.0,2.0,5.0,,,,,,,,,,,8.0,7.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dg2AA,1728410,Customer Segment: bad value for restricted picklist field: All
173,8411,Resolution Center,Service & Contact Center - CRS,Individu Umum,Transaction Banking,Transaction Solution,Request,Salah Transfer antar BRI,Nasabah Mengajukan Permohonan Pengembalian Dana (Refund) akibat Salah Transfer antar BRI,0.0,,1,"1. surat pernyataan (matrai)
2. ktp",Move to Resolution Center,,Medium,6 ~ 10,5.0,10.0,,"T2.1 - CRS, T2.2 - Branch(Uker)",1.0,2.0,5.0,,,,,,,,,,,8.0,7.0,,LCC-CRC,,,,1C,Regular Banking,Tabungan,,,Kelalaian Konsumen,Transfer Dana,RM,Salah Transfer,50.0,a1DMR00000009dh2AA,1738411,Customer Segment: bad value for restricted picklist field: All
174,8412,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,"Nasabah BRI Gagal Transaksi Belanja di EDC BRI, Saldo Rekening Berkurang",Nasabah Komplain Gagal Pembayaran di EDC BRI dan saldo berkurang,0.0,,0,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,6.0,9.0,,"T2.1 - NFT(ISSUER), T3.1 - FST(MCO), T4.1 - NFT(ISSUER), Include POD",1.0,1.0,,,7.0,,,1.0,,,,,,10.0,9.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009di2AA,1748412,Customer Segment: bad value for restricted picklist field: All
175,8413,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Link,0.0,,0,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,5.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS",1.0,5.0,,,,,,,,,,,,6.0,5.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dj2AA,1758413,Customer Segment: bad value for restricted picklist field: All
176,8414,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Bersama,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Bersama,0.0,,0,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,7.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include ARTAJASA",1.0,7.0,,,,,,,,,,,,8.0,7.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dk2AA,1768414,Customer Segment: bad value for restricted picklist field: All
177,8415,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Cirrus,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Cirrus,0.0,,0,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,7.0,45.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include CIRRUS",1.0,21.0,,,,,,,,,,,,22.0,21.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dl2AA,1778415,Customer Segment: bad value for restricted picklist field: All
178,8416,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,"Nasabah BRI Gagal Transaksi Belanja di EDC Bank Lain atau melalui QRIS BRImo, Saldo Rekening Berkurang",Nasabah Komplain Gagal Pembayaran di EDC Bank Lain dan saldo berkurang,0.0,,0,,Move to Resolution Center,Stay in NFT,High,11 ~ 15,11.0,14.0,Untuk QRIS di buatkan Call Type Baru,T2.1 - NFT(ISSUER),1.0,10.0,,,,,,,,,,,,11.0,10.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,Electronic Banking,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dm2AA,1788416,Customer Segment: bad value for restricted picklist field: All
181,8425,Resolution Center,Service & Contact Center - CCT,Individu Umum,Servicing,Mobile Banking,Request,Pen-delete-an Status Registrasi Layanan yang Ada di BRI,Nasabah Mengajukan Penghapusan Layanan BRImo,0.0,,0,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,0.0,0.0,Change GIC to CCT,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,0.0,,LCC-CRC,,,,1A,Regular Banking,Electronic Banking,,,Kelalaian Konsumen,ATM dan/atau Kartu Debet,AD,Usaha pengambilan data secara ilegal - Lainnya,69.0,a1DMR00000009dn2AA,1818425,Customer Segment: bad value for restricted picklist field: All
182,8426,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah Link Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan LINK Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,0.0,,0,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,0.0,0.0,,"T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)",1.0,2.0,3.0,,,,,,,,,,,6.0,5.0,,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009do2AA,1828426,Customer Segment: bad value for restricted picklist field: All
183,8427,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah ATM Bersama Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan BERSAMA Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,0.0,,0,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,3.0,0.0,,"T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)",1.0,2.0,3.0,,,,,,,,,,,6.0,5.0,,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dp2AA,1838427,Customer Segment: bad value for restricted picklist field: All
184,8428,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah Prima Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan PRIMA Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,0.0,,0,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,0.0,0.0,,"T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)",1.0,2.0,3.0,,,,,,,,,,,6.0,5.0,,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dq2AA,1848428,Customer Segment: bad value for restricted picklist field: All
185,8429,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah Cirrus Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan CIRRUS Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,0.0,,0,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,0.0,0.0,,"T2.1 - NFT(ISSUER), T2.2 - Branch(Uker)",1.0,2.0,3.0,,,,,,,,,,,6.0,5.0,,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dr2AA,1858429,Customer Segment: bad value for restricted picklist field: All
187,8433,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,"Pembayaran Tagihan Gagal, Saldo Berkurang",Nasabah Komplain Gagal Pembayaran Tagihan dan saldo berkurang,1.0,"1. Pembayaran non-BRIVA
2. Pembayaran BRIVA",0,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,1.0,3.0,Sub: Pembayaran non-BRIVA diskusi dengan POD,"T2.1 - NFT(ISSUER), Include POD(RSP)",1.0,3.0,,,,,,,,,,,,4.0,3.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dt2AA,1878433,Customer Segment: bad value for restricted picklist field: All
188,8434,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,"Pengisian Pulsa HP gagal, Saldo Berkurang",Nasabah Komplain Gagal Pembelian Pulsa dan saldo berkurang,1.0,"1. Provider Pulsa telkomsel
2. Provider Pulsa XL
3. Provider Pulsa Indosat
4. Lain-lain",0,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,7.0,"Sub: Provider Pulsa (telkomsel,XL, etc)","T2.1 - NFT(ISSUER), Include POD(RSP)",1.0,6.0,,,,,,,,,,,,7.0,6.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009du2AA,1888434,Customer Segment: bad value for restricted picklist field: All
189,8435,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Prima,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Prima,0.0,,0,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,5.0,6.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS",1.0,6.0,,,,,,,,,,,,7.0,6.0,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Transfer Dana,RM,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dv2AA,1898435,Customer Segment: bad value for restricted picklist field: All
190,8436,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal transfer & terdebet jaringan ATM Bersama,Nasabah Komplain Gagal Transfer & Saldo Berkurang di ATM/CRM Bersama,0.0,,1,"1. surat pernyataan (matrai)
2. ktp",Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,4.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include ARTAJASA",1.0,4.0,,,,,,,,,,,,5.0,4.0,,LCC-ISSUER,Agent,Supervisor,Manager,1C,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Transfer Dana,RM,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dw2AA,1908436,Customer Segment: bad value for restricted picklist field: All
191,8437,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal transfer & terdebet jaringan ATM Prima,Nasabah Komplain Gagal Transfer & Saldo Berkurang di ATM/CRM Prima,0.0,,1,"1. surat pernyataan (matrai)
2. ktp",Move to Resolution Center,Stay in NFT,Low,3 ~ 5,3.0,4.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS",1.0,4.0,,,,,,,,,,,,5.0,4.0,,LCC-ISSUER,Agent,Supervisor,Manager,1C,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Transfer Dana,RM,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dx2AA,1918437,Customer Segment: bad value for restricted picklist field: All
192,8439,Resolution Center,Service & Contact Center - NFT,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal transfer & terdebet jaringan ATM Himbara,Nasabah Komplain Gagal Transfer & Saldo Berkurang di ATM/CRM Himbara,0.0,,1,"1. surat pernyataan (matrai)
2. ktp",Move to Resolution Center,Stay in NFT,Low,3 ~ 5,3.0,4.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include JALIN",1.0,4.0,,,,,,,,,,,,5.0,4.0,,LCC-ISSUER,Agent,Supervisor,Manager,1C,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Transfer Dana,RM,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0,a1DMR00000009dy2AA,1928439,Customer Segment: bad value for restricted picklist field: All
