"Product","Record Type","Account Number","Interest Rate","Loan Term(months)","Branch Code","Household"
"Savings Account","Servicing","514719254123748","0.5","12","B030","Low Income"
"Checking Account","Closed","504295453617746","0.5","48","B100","Primary"
"Personal Loan","Servicing","042967620856511","0.7000000000000001","60","B054","Middle Income"
"Personal Loan","New Application","678310185229415","0.7000000000000001","36","B002","Primary"
"Checking Account","New Application","293267023367883","0.5","24","B054","High Income"
"Checking Account","Servicing","324852587802461","0.2","72","B095","High Income"
"Savings Account","New Application","522758009520539","1.0","60","B042","Low Income"
"Mortgage","Servicing","875579560860505","0.7000000000000001","12","B064","Low Income"
"Savings Account","Closed","572630881780719","0.30000000000000004","84","B055","Middle Income"
"Personal Loan","Closed","302157903490940","0.5","48","B004","Low Income"
"Personal Loan","New Application","300813358411286","0.7000000000000001","36","B030","Middle Income"
"Mortgage","New Application","234725425967774","0.8","12","B070","Primary"
"Personal Loan","Closed","643587593654483","0.6000000000000001","60","B041","Low Income"
"Personal Loan","New Application","405360237241672","0.9","12","B091","Primary"
"Mortgage","Closed","520209473774103","0.7000000000000001","12","B059","Primary"
"Mortgage","Closed","263517069151981","0.4","24","B048","Middle Income"
"Savings Account","New Application","584882053597639","1.0","84","B011","Primary"
"Mortgage","New Application","348242201568718","0.30000000000000004","60","B009","Primary"
"Checking Account","Servicing","755560338456633","0.5","72","B055","Primary"
"Savings Account","Closed","334199464786898","0.2","60","B018","Middle Income"
"Checking Account","Servicing","340159219854084","0.9","36","B003","High Income"
"Personal Loan","Servicing","599719207338987","1.0","12","B070","Low Income"
"Savings Account","New Application","388078983685817","1.0","48","B030","Low Income"
"Mortgage","New Application","337148860629553","0.1","72","B001","Primary"
"Mortgage","Closed","084342378863338","0.4","84","B045","Low Income"
"Mortgage","New Application","544327484090592","0.4","36","B052","Secondary"
"Savings Account","Closed","989214481341132","0.2","12","B093","Low Income"
"Mortgage","Closed","052336306407402","0.6000000000000001","12","B080","Low Income"
"Personal Loan","New Application","675170707967997","0.30000000000000004","84","B018","Primary"
"Savings Account","Closed","609317764948055","0.8","24","B088","Low Income"
"Checking Account","New Application","155014825024014","0.9","84","B059","Middle Income"
"Savings Account","New Application","194374065229642","0.7000000000000001","72","B037","High Income"
"Savings Account","Closed","833864515067935","0.6000000000000001","36","B008","High Income"
"Checking Account","New Application","001358708464101","0.6000000000000001","24","B023","Secondary"
"Savings Account","Closed","360466555534802","0.1","60","B058","Secondary"
"Personal Loan","Closed","700774096413609","0.4","12","B051","Primary"
"Checking Account","New Application","033369502526347","0.1","48","B067","Secondary"
"Savings Account","New Application","677926741269560","0.2","60","B022","Low Income"
"Savings Account","Servicing","616020663529240","0.1","48","B027","Primary"
"Personal Loan","Closed","594120343534679","0.4","84","B015","Low Income"
"Checking Account","Closed","627587082006764","1.0","24","B079","Primary"
"Mortgage","Closed","567069822373179","0.8","12","B090","Secondary"
"Checking Account","Servicing","592985914732466","0.5","48","B052","High Income"
"Checking Account","New Application","625721724366943","0.9","48","B009","Low Income"
"Savings Account","New Application","978545692090474","0.8","24","B061","Middle Income"
"Savings Account","Servicing","940396172676370","0.1","24","B052","High Income"
"Mortgage","Servicing","398266731006749","0.30000000000000004","48","B094","Secondary"
"Checking Account","New Application","966348996476572","0.1","84","B034","Low Income"
"Mortgage","Closed","267966043254172","0.9","84","B092","Primary"
"Personal Loan","Closed","041145051246638","0.9","84","B056","Low Income"
"Checking Account","New Application","700609327715265","0.6000000000000001","72","B071","High Income"
"Personal Loan","Servicing","746565287701018","0.1","24","B027","High Income"
"Mortgage","New Application","506252593954197","0.2","84","B022","Low Income"
"Checking Account","Closed","583602387966207","0.7000000000000001","84","B064","Middle Income"
"Mortgage","New Application","279803404383481","0.9","24","B100","Middle Income"
"Personal Loan","New Application","191718267026835","0.1","36","B098","Middle Income"
"Savings Account","Servicing","070540028866849","0.9","60","B050","Low Income"
"Personal Loan","Closed","704417106552776","0.5","84","B100","Low Income"
"Savings Account","Servicing","499957164882513","0.5","12","B066","Secondary"
"Checking Account","New Application","385673869672633","0.8","12","B008","Middle Income"
"Checking Account","Servicing","430650374685383","0.30000000000000004","60","B012","Low Income"
"Mortgage","New Application","951377313554762","0.2","12","B097","Secondary"
"Checking Account","Servicing","360884127705891","0.1","60","B053","High Income"
"Personal Loan","Closed","905664558604800","0.9","72","B012","Primary"
"Mortgage","Closed","979071589368418","0.7000000000000001","48","B090","High Income"
"Personal Loan","Servicing","163594526705171","0.2","24","B088","Low Income"
"Savings Account","Servicing","729417103389500","1.0","72","B076","Low Income"
"Mortgage","Servicing","993737584679929","0.9","24","B061","High Income"
"Checking Account","New Application","020201719180834","0.2","12","B030","Primary"
"Mortgage","Closed","001191937961558","0.2","36","B031","High Income"
"Mortgage","Servicing","718143775718041","0.7000000000000001","24","B032","Low Income"
"Savings Account","New Application","380079488477573","0.7000000000000001","72","B046","Primary"
"Personal Loan","Closed","324617913335728","0.30000000000000004","12","B068","Low Income"
"Savings Account","Servicing","236016391966663","0.4","24","B087","Primary"
"Savings Account","Servicing","352591403206431","0.6000000000000001","24","B074","Secondary"
"Personal Loan","Closed","938831200483669","0.7000000000000001","12","B083","High Income"
"Checking Account","New Application","095454317479541","0.8","36","B015","High Income"
"Savings Account","Closed","500022013996464","0.2","12","B004","High Income"
"Checking Account","Closed","707133214980950","0.6000000000000001","60","B046","Secondary"
"Savings Account","Closed","319006355027629","0.9","24","B003","High Income"
"Checking Account","Servicing","175145876146428","0.4","24","B035","Low Income"
"Personal Loan","Servicing","339252165220429","0.2","48","B100","Secondary"
"Savings Account","Servicing","960034623257096","0.7000000000000001","36","B032","High Income"
"Mortgage","New Application","365988873444688","0.9","12","B093","Secondary"
"Checking Account","Servicing","372295437071496","0.4","24","B051","Secondary"
"Checking Account","Closed","040267665147697","0.1","24","B050","High Income"
"Personal Loan","New Application","697758840269801","0.1","12","B090","Primary"
"Mortgage","Closed","895098416007247","0.6000000000000001","12","B003","Secondary"
"Checking Account","Servicing","473081675871802","0.7000000000000001","84","B037","Secondary"
"Personal Loan","Servicing","377592939551436","0.5","12","B071","Middle Income"
"Mortgage","Servicing","265591001173086","0.7000000000000001","72","B013","High Income"
"Checking Account","Servicing","353259092003817","0.8","12","B098","Primary"
"Mortgage","Closed","913459514502402","0.9","72","B037","Middle Income"
"Personal Loan","New Application","117225504492926","0.9","24","B025","Low Income"
"Mortgage","New Application","022360912892816","0.9","48","B027","High Income"
"Checking Account","Closed","825689721621463","0.5","84","B041","High Income"
"Savings Account","New Application","310996002914719","0.2","48","B046","Low Income"
"Personal Loan","New Application","826435793896988","0.5","48","B072","Secondary"
"Checking Account","Closed","602048056040841","0.6000000000000001","24","B025","Middle Income"
"Checking Account","New Application","922861568305454","0.9","12","B036","Primary"
"Personal Loan","New Application","679122747948090","0.2","24","B098","High Income"
"Mortgage","New Application","798595115725059","1.0","60","B070","Primary"
"Savings Account","New Application","586233677112843","0.9","48","B050","Secondary"
"Mortgage","New Application","524106311305345","0.8","48","B058","Secondary"
"Mortgage","Servicing","787438016879825","0.5","48","B084","Middle Income"
"Checking Account","Servicing","307066315892120","0.8","24","B068","Primary"
"Checking Account","New Application","669279679930308","0.6000000000000001","60","B040","High Income"
"Mortgage","Servicing","532807958933409","0.5","72","B036","Primary"
"Personal Loan","Closed","929391710561357","1.0","48","B090","Secondary"
"Personal Loan","New Application","382987528196146","0.2","48","B015","Middle Income"
"Savings Account","New Application","744097411591971","0.8","60","B093","Low Income"
"Savings Account","Closed","600829236780439","0.9","60","B018","High Income"
"Personal Loan","Servicing","525391485814057","0.1","24","B021","Primary"
"Checking Account","Servicing","515001289199836","0.6000000000000001","60","B065","Low Income"
"Personal Loan","Closed","348422085261050","0.9","24","B055","Middle Income"
"Checking Account","Servicing","188740509721312","0.8","72","B077","High Income"
"Mortgage","Closed","133082072954260","0.8","72","B078","Secondary"
"Checking Account","Closed","407299174527459","0.2","24","B014","Secondary"
"Savings Account","Closed","309689981641465","0.7000000000000001","36","B070","Primary"
"Mortgage","Closed","785669730454174","0.5","24","B008","High Income"
"Personal Loan","New Application","656609136406608","0.5","72","B087","Secondary"
"Personal Loan","Closed","414774515951916","1.0","72","B048","High Income"
"Personal Loan","New Application","514044782548847","0.6000000000000001","60","B027","Primary"
"Mortgage","New Application","106472127703978","0.6000000000000001","36","B047","Low Income"
"Mortgage","Closed","488430240126815","0.2","48","B057","Secondary"
"Mortgage","New Application","665542045379627","0.8","24","B038","High Income"
"Checking Account","Servicing","050823810917028","0.7000000000000001","48","B069","Middle Income"
"Savings Account","Servicing","262674705234061","0.9","60","B046","High Income"
"Mortgage","Closed","646675466891295","0.30000000000000004","24","B047","High Income"
"Savings Account","Servicing","009734900839804","0.6000000000000001","60","B050","Middle Income"
"Personal Loan","New Application","927521852774014","0.30000000000000004","36","B091","Primary"
"Personal Loan","Closed","009078752588194","0.8","12","B087","High Income"
"Checking Account","Servicing","670709108178090","0.1","24","B054","High Income"
"Savings Account","New Application","446524959350843","0.1","48","B004","Primary"
"Checking Account","Servicing","800041291347577","0.30000000000000004","36","B062","Primary"
"Savings Account","Closed","521566313409804","0.9","60","B073","High Income"
"Savings Account","Closed","996857363223142","0.4","36","B016","Primary"
"Checking Account","Servicing","153306294069732","0.7000000000000001","84","B011","Middle Income"
"Personal Loan","Closed","438574016333514","0.9","36","B088","Middle Income"
"Checking Account","Closed","845292311680815","0.30000000000000004","48","B065","Primary"
"Mortgage","New Application","287882700324220","0.5","48","B073","Primary"
"Personal Loan","New Application","736390926711534","0.1","72","B025","Middle Income"
"Personal Loan","Servicing","661569205142401","0.30000000000000004","72","B032","Middle Income"
"Checking Account","New Application","381478038142529","0.2","60","B059","High Income"
"Personal Loan","Servicing","394848538460059","1.0","36","B007","Middle Income"
"Checking Account","Servicing","458481407555023","0.4","24","B073","Middle Income"
"Checking Account","New Application","712063063960277","0.6000000000000001","84","B060","Middle Income"
"Savings Account","Servicing","328409854992946","0.7000000000000001","12","B002","Middle Income"
"Mortgage","New Application","052377686945858","0.9","60","B048","Low Income"
"Savings Account","New Application","515742558778957","0.9","12","B027","Primary"
"Mortgage","Closed","391313083249013","0.9","12","B074","Middle Income"
"Checking Account","Servicing","187796564870967","0.8","60","B061","Low Income"
"Checking Account","Closed","014933107263751","0.1","12","B017","Primary"
"Mortgage","Closed","575815718604291","0.1","48","B034","Primary"
"Checking Account","Closed","782321603865493","0.4","60","B098","High Income"
"Personal Loan","Closed","635181437016741","0.8","24","B036","High Income"
"Personal Loan","Closed","458837507584846","0.6000000000000001","72","B018","Secondary"
"Checking Account","New Application","496122734729173","0.30000000000000004","84","B068","High Income"
"Savings Account","Closed","189697741559118","0.2","84","B052","Middle Income"
"Savings Account","Closed","558226037708203","0.30000000000000004","36","B022","Secondary"
"Mortgage","Servicing","848414394826470","0.30000000000000004","60","B093","Low Income"
"Personal Loan","Closed","867918934819395","0.9","24","B065","Secondary"
"Savings Account","Closed","421285572885372","0.9","12","B020","High Income"
"Personal Loan","New Application","934987725844963","0.5","84","B059","Low Income"
"Savings Account","Closed","366900978454771","1.0","84","B015","Low Income"
"Savings Account","Servicing","522656680518687","0.7000000000000001","84","B082","Secondary"
"Mortgage","Servicing","934738532794681","0.9","36","B084","Primary"
"Checking Account","Closed","431187520836220","0.30000000000000004","48","B053","Middle Income"
"Checking Account","Closed","097597904701525","0.5","48","B098","Secondary"
"Savings Account","Closed","944867262197393","0.6000000000000001","84","B054","Secondary"
"Savings Account","Servicing","446484982423169","0.4","12","B006","Middle Income"
"Mortgage","Closed","343019622111569","0.6000000000000001","60","B003","Secondary"
"Savings Account","New Application","747607931204465","0.30000000000000004","12","B006","Secondary"
"Personal Loan","New Application","163452461094955","0.2","48","B011","High Income"
"Checking Account","Closed","913964593506956","0.6000000000000001","72","B007","Low Income"
"Savings Account","Closed","613577611842656","0.5","72","B099","Middle Income"
"Mortgage","Closed","178195783726141","0.9","60","B061","Primary"
"Personal Loan","New Application","518620610175107","0.6000000000000001","36","B023","Secondary"
"Mortgage","New Application","809395852819386","0.6000000000000001","36","B032","Secondary"
"Savings Account","New Application","585432600170327","0.6000000000000001","60","B095","High Income"
"Mortgage","Closed","701357361967009","1.0","48","B039","High Income"
"Savings Account","New Application","194188695342585","0.2","36","B065","Secondary"
"Checking Account","Closed","819451995755586","0.9","72","B068","High Income"
"Mortgage","Servicing","411034152769155","0.8","72","B079","Low Income"
"Mortgage","New Application","038387278072241","0.8","72","B099","Middle Income"
"Personal Loan","Closed","672294414138911","0.2","24","B070","Low Income"
"Savings Account","Servicing","469972342063595","0.4","72","B025","Secondary"
"Checking Account","Closed","069468159850828","0.2","36","B087","Primary"
"Checking Account","New Application","207474126960108","1.0","60","B021","Secondary"
"Savings Account","Closed","055021636561287","0.7000000000000001","24","B007","Low Income"
"Savings Account","Servicing","674354458950163","0.4","84","B020","High Income"
"Checking Account","Servicing","578195329066514","0.30000000000000004","36","B027","Secondary"
"Savings Account","Servicing","959432693608428","0.4","84","B005","Low Income"
"Savings Account","Closed","906334627672485","0.5","60","B092","Primary"
"Personal Loan","Closed","276218798571544","0.5","12","B073","Low Income"
"Savings Account","Closed","264094592056491","0.4","12","B074","Middle Income"
"Personal Loan","Closed","291160218560320","0.8","72","B026","High Income"
"Savings Account","Servicing","469346030931414","0.9","12","B097","Middle Income"
"Savings Account","Closed","315183056872439","0.1","84","B005","Secondary"
"Personal Loan","Servicing","011714379077631","0.1","24","B004","Secondary"
"Savings Account","New Application","857213462913712","0.4","84","B028","Middle Income"
"Checking Account","Servicing","183271824132788","0.30000000000000004","72","B061","Low Income"
"Savings Account","New Application","153951849211762","0.7000000000000001","36","B006","High Income"
"Checking Account","Closed","374182902288523","0.6000000000000001","12","B075","Low Income"
"Savings Account","New Application","820097277908470","0.5","24","B003","High Income"
"Personal Loan","Closed","946981422314642","0.5","12","B010","Low Income"
"Savings Account","Closed","003478805601108","0.5","84","B037","Low Income"
"Checking Account","Closed","019467498222692","0.5","60","B067","Secondary"
"Personal Loan","Servicing","179602675918332","0.2","60","B100","Secondary"
"Checking Account","New Application","834450458786358","0.1","12","B051","Low Income"
"Mortgage","New Application","036779010273814","0.6000000000000001","72","B030","Low Income"
"Savings Account","Servicing","725952346040667","0.5","36","B058","Primary"
"Personal Loan","Closed","389358292131159","0.4","48","B023","Secondary"
"Savings Account","Servicing","497121352846483","0.4","48","B095","Low Income"
"Personal Loan","Servicing","156794994948706","0.5","48","B041","Low Income"
"Checking Account","New Application","405840035582231","0.5","12","B022","Secondary"
"Personal Loan","New Application","012617798221394","0.9","72","B069","Low Income"
"Savings Account","Servicing","134071542771727","0.6000000000000001","48","B037","Middle Income"
"Checking Account","New Application","980279986886128","0.8","84","B043","High Income"
"Personal Loan","New Application","448433957891917","0.4","36","B035","Middle Income"
"Checking Account","Servicing","974593179734812","0.7000000000000001","12","B100","High Income"
"Savings Account","Closed","520488004263871","0.7000000000000001","24","B036","High Income"
"Personal Loan","Servicing","128316309650648","1.0","72","B080","Middle Income"
"Checking Account","Closed","842249337596818","0.1","12","B017","Middle Income"
"Personal Loan","New Application","416539889225900","0.9","24","B086","Middle Income"
"Mortgage","New Application","456759448705578","0.5","36","B013","Secondary"
"Mortgage","Closed","548993633148487","0.6000000000000001","36","B078","High Income"
"Personal Loan","New Application","486950783285479","0.1","48","B046","Secondary"
"Mortgage","Servicing","974068201307202","0.2","24","B055","Secondary"
"Checking Account","Servicing","892428280499758","1.0","24","B095","Secondary"
"Personal Loan","New Application","677779187194239","0.6000000000000001","60","B003","Low Income"
"Personal Loan","Closed","266335376862431","1.0","12","B096","High Income"
"Checking Account","Servicing","952981263904234","0.8","84","B071","Secondary"
"Mortgage","Closed","969002937013497","0.8","36","B077","Middle Income"
"Personal Loan","Closed","878456357017818","0.8","36","B034","Primary"
"Personal Loan","Closed","403320771104857","0.7000000000000001","36","B003","Secondary"
"Personal Loan","Servicing","477830686004215","0.4","24","B049","Low Income"
"Mortgage","Servicing","722501408553005","0.5","60","B064","Low Income"
"Personal Loan","Closed","278965516488843","0.5","24","B053","Middle Income"
"Savings Account","Servicing","622606077124431","0.7000000000000001","72","B069","Low Income"
"Savings Account","New Application","445009504856196","0.9","60","B075","Secondary"
"Mortgage","Servicing","176840593102325","0.1","60","B059","Primary"
"Personal Loan","New Application","550271323997625","0.1","48","B022","Middle Income"
"Checking Account","New Application","326813435937649","0.1","24","B083","Primary"
"Savings Account","Servicing","575530104998779","0.30000000000000004","60","B065","Primary"
"Mortgage","Servicing","014460475026802","0.8","72","B011","Primary"
"Mortgage","Servicing","180749485831155","0.7000000000000001","72","B059","Primary"
"Savings Account","New Application","467567852354056","0.30000000000000004","48","B042","Primary"
"Savings Account","New Application","553870915966390","0.1","24","B050","Secondary"
"Mortgage","Servicing","273673263524919","0.7000000000000001","60","B017","Low Income"
"Personal Loan","New Application","136542400083558","0.5","48","B062","Low Income"
"Mortgage","New Application","850589797883096","0.8","48","B084","Primary"
"Savings Account","Servicing","493572529529941","0.30000000000000004","72","B023","High Income"
"Savings Account","New Application","090645493701596","0.9","60","B088","Secondary"
"Savings Account","Closed","255573921579926","0.2","24","B004","Low Income"
"Mortgage","Closed","252901521961357","1.0","72","B083","Primary"
"Personal Loan","Servicing","683452196417690","0.6000000000000001","12","B036","High Income"
"Mortgage","Closed","486765922680124","1.0","12","B035","Primary"
"Personal Loan","Servicing","477336387314883","0.30000000000000004","84","B068","Secondary"
"Checking Account","Closed","786374667410815","0.6000000000000001","36","B053","Low Income"
"Personal Loan","New Application","042962334913881","1.0","48","B089","Middle Income"
"Savings Account","Closed","687274753642343","0.9","72","B081","Secondary"
"Mortgage","New Application","238883646982379","0.7000000000000001","24","B062","Secondary"
"Personal Loan","New Application","606525548917906","0.2","36","B082","Middle Income"
"Mortgage","New Application","040367351717956","0.30000000000000004","84","B019","Secondary"
"Checking Account","Closed","201033216756160","0.8","36","B007","Secondary"
"Savings Account","Servicing","326387240707531","0.9","36","B033","Secondary"
"Personal Loan","Closed","518643185546707","0.6000000000000001","48","B022","Secondary"
"Checking Account","Servicing","881945065209342","0.5","12","B010","Primary"
"Checking Account","New Application","244473996146411","0.5","36","B092","Middle Income"
"Savings Account","Closed","844279450924466","0.30000000000000004","12","B073","High Income"
"Personal Loan","Servicing","606966933489165","1.0","84","B034","High Income"
"Personal Loan","New Application","915868432472267","0.30000000000000004","60","B093","Secondary"
"Checking Account","New Application","870229428030392","0.7000000000000001","48","B075","Secondary"
"Personal Loan","Closed","135970621208504","0.4","24","B007","Primary"
"Personal Loan","New Application","784121428426529","0.2","36","B029","Primary"
"Savings Account","Servicing","374379475050502","0.30000000000000004","24","B034","Low Income"
"Personal Loan","New Application","824398417943028","0.6000000000000001","36","B016","Secondary"
"Mortgage","Closed","345820693371176","0.5","60","B001","High Income"
"Mortgage","New Application","155642898947097","0.7000000000000001","60","B036","Middle Income"
"Personal Loan","New Application","577184489775509","0.7000000000000001","60","B055","High Income"
"Mortgage","Servicing","620685377127921","0.5","48","B031","Primary"
"Personal Loan","Closed","903483096139028","0.1","60","B063","High Income"
"Checking Account","Closed","181712557390955","0.5","72","B037","Low Income"
"Savings Account","New Application","757489043191773","0.6000000000000001","72","B092","Secondary"
"Personal Loan","Servicing","951168645286865","1.0","60","B007","Primary"
"Mortgage","Closed","781627989611958","0.2","60","B070","Primary"
"Savings Account","New Application","804403190776918","1.0","24","B069","High Income"
"Checking Account","New Application","461497792312619","0.6000000000000001","48","B037","Middle Income"
"Savings Account","Servicing","752498524893457","0.6000000000000001","12","B077","Low Income"
"Checking Account","Closed","384635285749177","0.4","48","B020","High Income"
"Savings Account","Servicing","083488309810187","0.6000000000000001","60","B086","Middle Income"
"Mortgage","Closed","439496488891942","0.7000000000000001","36","B001","High Income"
"Checking Account","Servicing","681119934951437","0.1","12","B073","Middle Income"
"Mortgage","Closed","322622436441448","0.4","60","B006","Low Income"
"Savings Account","New Application","428022263770155","0.1","48","B039","Secondary"
"Savings Account","Closed","064628866411850","0.1","24","B010","Middle Income"
"Savings Account","New Application","364177573420520","0.8","36","B095","High Income"
"Mortgage","New Application","480539166898839","0.8","36","B029","High Income"
"Personal Loan","Servicing","501686259661592","0.7000000000000001","72","B057","Low Income"
"Mortgage","Closed","491516155137460","1.0","84","B019","Primary"
"Personal Loan","Closed","398391468501980","0.4","84","B020","High Income"
"Savings Account","Servicing","954704781729829","0.2","60","B065","Primary"
"Savings Account","Servicing","646458473151055","0.8","72","B003","Primary"
"Checking Account","New Application","322730308187809","0.4","24","B003","Middle Income"
"Savings Account","New Application","800371070721688","0.7000000000000001","12","B091","Secondary"
"Checking Account","New Application","234577481552395","0.30000000000000004","60","B042","High Income"
"Checking Account","Closed","611332624712511","0.4","60","B079","Low Income"
"Personal Loan","New Application","384641338655863","0.6000000000000001","84","B022","Primary"
"Personal Loan","New Application","087930201500756","0.7000000000000001","36","B039","Primary"
"Personal Loan","New Application","266671474087034","0.5","36","B029","Low Income"
"Mortgage","New Application","745682609243716","0.8","24","B069","Middle Income"
"Savings Account","Servicing","229713401475289","0.7000000000000001","36","B007","Primary"
"Mortgage","Servicing","298981105559073","0.1","72","B016","Low Income"
"Mortgage","New Application","492175497057281","0.5","72","B066","Low Income"
